"id","display_name","path","category","mood","description","tags"
1,"Breath of Stillness","music/mindfulness_01.mp3","mindfulness","{""peaceful,focused,grounding""}","Soft sustained tones that anchor the listener in the present moment.","{""beginner,morning,focus""}"
2,"Inner Calm","music/mindfulness_02.mp3","mindfulness","{""calm,centered,spacious""}","Resonant tones designed to quiet mental chatter and invite stillness.","{""intermediate,daytime,clarity""}"
3,"Present Moment","music/mindfulness_03.mp3","mindfulness","{aware,open,gentle}","Subtle harmonic layers that soften attention and expand awareness.","{advanced,anytime,awareness}"
4,"Clarity Flow","music/mindfulness_04.mp3","mindfulness","{clear,focused,bright}","Flowing tones that bring mental clarity and sharp awareness.","{intermediate,morning,focus}"
5,"Deep Rest","music/relax_01.mp3","relaxation","{sleepy,heavy,releasing}","Ultra-low frequencies that ease the nervous system into deep relaxation.","{beginner,evening,sleep}"
6,"Gentle Drift","music/relax_02.mp3","relaxation","{floating,ease,surrender}","Warm, drifting tones that carry tension away breath by breath.","{intermediate,afternoon,stress-relief}"
7,"Velvet Dusk","music/relax_03.mp3","relaxation","{warm,winding-down,soft}","Golden hour resonance for end-of-day release and restoration.","{beginner,evening,wind-down}"
8,"Twilight Haze","music/relax_04.mp3","relaxation","{dreamy,hazy,soothing}","Blurred edges and soft shimmer for the liminal space between wake and sleep.","{advanced,night,sleep}"
9,"Ocean Waves","music/nature_01.mp3","nature","{expansive,rhythmic,cleansing}","The steady pulse of ocean waves on a calm shoreline.","{beginner,anytime,breath-sync}"
10,"Forest Rain","music/nature_02.mp3","nature","{cool,renewing,sheltered}","Rain falling through a dense canopy, washing the world clean.","{beginner,anytime,focus}"
11,"Mountain Stream","music/nature_03.mp3","nature","{clear,energizing,fresh}","Cold, clear water flowing over smooth stones in high altitude silence.","{intermediate,morning,clarity}"
12,"Morning Birds","music/nature_04.mp3","nature","{uplifting,alive,joyful}","The dawn chorus that signals a fresh beginning.","{beginner,morning,gratitude}"
